Especie;FechaAnillamiento;Cod_Localidad;Localidad;Municipio;Provincia;LatitudGrados;LatitudMinutos;CuadranteLatitud;LongitudGrados;LongitudMinutos;CuadranteLongitud;CentroR;AnillaR;InfoAnillaR;AmpliacionAnillaR;Verificacion;EspecieR;SexoR;EdadR;FechaRecuperacion;Cod_LocalidadR;LocalidadR;MunicipioR;ProvinciaR;LatitudGradosR;LatitudMinutosR;CuadranteLatitudR;LongitudGradosR;LongitudMinutosR;CuadranteLongitudR;
1340;9/6/08;HEZH2;AEROPUERTO DE ZURICH-KLOTEN;ZURICH;ZURICH;47;23;N;8;33;E;HES;SE...606;4;        ;0;1340;U;4;18/2/16;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;9/6/09;HETG10;NIEDERWIL;NIEDERWIL;THURGAU;47;34;N;8;52;E;HES;SE...690;4;        ;0;1340;U;2;18/12/15;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;9/6/09;HETG10;NIEDERWIL;NIEDERWIL;THURGAU;47;34;N;8;52;E;HES;SE...690;4;        ;0;1340;U;4;22/1/16;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;9/6/09;HETG10;NIEDERWIL;NIEDERWIL;THURGAU;47;34;N;8;52;E;HES;SE...690;4;        ;0;1340;U;2;12/1/16;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;7/6/14;HESG126;ZIEGELHOFHORST;SENNWALD;ST. GALLEN;47;13;N;9;29;E;HES;SH...173;4;        ;0;1340;U;2;10/3/16;ES534343;MADRID;EL PORCAL;MADRID;40;17;N;3;31;W;
1340;10/6/13;HEBL109;BINNINGEN;BINNINGEN;BASELSTADT;47;32;N;7;34;E;HES;SH...208;4;        ;0;1340;U;2;18/12/15;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;M;F;2/3/08;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;M;4;2/3/12;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;M;4;11/6/12;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;M;J;15/3/09;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;U;0;21/3/07;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;M;4;25/2/10;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
1340;15/6/01;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;....7065;4;        ;0;1340;M;4;27/2/11;DEBF10;BOHRINGEN;BOHRINGEN;SUDBADEN (FREIBURG);47;45;N;8;56;E;
